"","od","num_airlines","average_delay","origin","dest","airport_origin","city_origin","state_origin","country_origin","latitude_origin","longitude_origin","airport_destination","city_destination","state_destination","country_destination","latitude_destination","longitude_destination"
"139","CLETPA",3,0.124531753255418,"CLE","TPA","Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"140","MSPPHL",3,0.124510275256522,"MSP","PHL","Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"141","ATLAUS",3,0.123859365973246,"ATL","AUS","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Austin-Bergstrom International Airport","Austin","TX","USA",30.19453,-97.66987
"142","DENMCI",3,0.122543775697835,"DEN","MCI","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Kansas City International Airport","Kansas City","MO","USA",39.29761,-94.71391
"143","CLEFLL",4,0.12212062426314,"CLE","FLL","Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494,"Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275
"144","JFKLAX",5,0.12210304946413,"JFK","LAX","John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"145","DCATPA",3,0.121639380210021,"DCA","TPA","Ronald Reagan Washington National Airport","Arlington","VA","USA",38.85208,-77.03772,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"146","IADLAX",3,0.121461727554775,"IAD","LAX","Washington Dulles International Airport","Chantilly","VA","USA",38.94453,-77.45581,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"147","DENGEG",3,0.12112826083081,"DEN","GEG","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Spokane International Airport","Spokane","WA","USA",47.61986,-117.53384
"148","DTWFLL",3,0.120735559961656,"DTW","FLL","Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884,"Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275
"149","ATLFLL",3,0.118627384458535,"ATL","FLL","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275
"150","LASSEA",3,0.117619672976965,"LAS","SEA","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"151","DFWLGA",3,0.117087691251842,"DFW","LGA","Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372,"LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261
"152","DENSAN",4,0.116909669297831,"DEN","SAN","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"San Diego International Airport (Lindbergh Field)","San Diego","CA","USA",32.73356,-117.18966
