"","od","num_airlines","average_delay","origin","dest","airport_origin","city_origin","state_origin","country_origin","latitude_origin","longitude_origin","airport_destination","city_destination","state_destination","country_destination","latitude_destination","longitude_destination"
"45","BOSDEN",3,0.187370356458799,"BOS","DEN","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Denver International Airport","Denver","CO","USA",39.85841,-104.667
"46","JFKMCO",3,0.186708195161618,"JFK","MCO","John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"47","LASSFO",5,0.183314987303174,"LAS","SFO","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"48","LAXMCI",3,0.182947259213905,"LAX","MCI","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Kansas City International Airport","Kansas City","MO","USA",39.29761,-94.71391
"49","DENLAX",4,0.182620653680005,"DEN","LAX","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"50","FLLLAS",3,0.180840645458447,"FLL","LAS","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"51","ORDSAN",3,0.178527905537635,"ORD","SAN","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"San Diego International Airport (Lindbergh Field)","San Diego","CA","USA",32.73356,-117.18966
"52","DENOMA",3,0.178038166798712,"DEN","OMA","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Eppley Airfield","Omaha","NE","USA",41.30252,-95.89417
"53","LASLAX",6,0.177048911414369,"LAS","LAX","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"54","BOSJFK",3,0.175690903678565,"BOS","JFK","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893
"55","BWILAX",4,0.174081093383404,"BWI","LAX","Baltimore-Washington International Airport","Baltimore","MD","USA",39.1754,-76.6682,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"56","SEASFO",4,0.173320517134494,"SEA","SFO","Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"57","PHLTPA",3,0.172965326239943,"PHL","TPA","Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"58","LASPHL",3,0.172898694391216,"LAS","PHL","McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"59","AUSDEN",3,0.169083206965464,"AUS","DEN","Austin-Bergstrom International Airport","Austin","TX","USA",30.19453,-97.66987,"Denver International Airport","Denver","CO","USA",39.85841,-104.667
"60","IADLAS",3,0.168915701861368,"IAD","LAS","Washington Dulles International Airport","Chantilly","VA","USA",38.94453,-77.45581,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"61","ATLBOS",3,0.168487732812655,"ATL","BOS","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518
"62","FLLJFK",3,0.167995436207257,"FLL","JFK","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893
"63","ORDPDX",4,0.166787073869196,"ORD","PDX","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"64","LAXPHX",4,0.16677568502604,"LAX","PHX","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"65","ATLLAS",4,0.165612275656522,"ATL","LAS","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"66","PHXSEA",5,0.165423108038517,"PHX","SEA","Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"67","ATLTPA",3,0.164367113996642,"ATL","TPA","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"68","DFWDTW",3,0.16424655250915,"DFW","DTW","Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372,"Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884
"69","DFWMSP",3,0.16407460766217,"DFW","MSP","Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372,"Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692
"70","CLEPHX",3,0.163531584870258,"CLE","PHX","Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"71","ATLDTW",3,0.163146846263475,"ATL","DTW","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884
"72","JFKPHX",3,0.162664001704236,"JFK","PHX","John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"73","MIAORD",3,0.162261868674378,"MIA","ORD","Miami International Airport","Miami","FL","USA",25.79325,-80.29056,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"74","FLLORD",3,0.161763596382545,"FLL","ORD","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"75","BWIFLL",3,0.161625458134381,"BWI","FLL","Baltimore-Washington International Airport","Baltimore","MD","USA",39.1754,-76.6682,"Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275
"76","JFKSEA",4,0.161518983561059,"JFK","SEA","John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"77","DENMSP",5,0.159439815913302,"DEN","MSP","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692
"78","PHXSFO",4,0.159388854524691,"PHX","SFO","Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"79","DENSTL",3,0.159046652020891,"DEN","STL","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"St. Louis International Airport at Lambert Field","St Louis","MO","USA",38.74769,-90.35999
"80","FLLPHL",3,0.157963583528602,"FLL","PHL","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"81","ATLLGA",3,0.156588448118619,"ATL","LGA","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261
"82","AUSORD",3,0.15593312112682,"AUS","ORD","Austin-Bergstrom International Airport","Austin","TX","USA",30.19453,-97.66987,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"83","BOSSFO",3,0.155769099768569,"BOS","SFO","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"84","IAHLAS",3,0.155409017385583,"IAH","LAS","George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"85","ATLMIA",3,0.153380288106075,"ATL","MIA","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Miami International Airport","Miami","FL","USA",25.79325,-80.29056
"86","HNLSFO",4,0.153161185991358,"HNL","SFO","Honolulu International Airport","Honolulu","HI","USA",21.31869,-157.92241,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"87","DENOKC",3,0.153044276350553,"DEN","OKC","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Will Rogers World Airport","Oklahoma City","OK","USA",35.39309,-97.60073
"88","DENPHX",5,0.151838978781093,"DEN","PHX","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"89","ATLLAX",5,0.151794435022163,"ATL","LAX","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"90","SANSFO",3,0.15082624835138,"SAN","SFO","San Diego International Airport (Lindbergh Field)","San Diego","CA","USA",32.73356,-117.18966,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"91","EWRPHX",3,0.1508196127002,"EWR","PHX","Newark Liberty International Airport","Newark","NJ","USA",40.6925,-74.16866,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"92","DENRSW",3,0.150544818934044,"DEN","RSW","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Southwest Florida International Airport","Ft. Myers","FL","USA",26.53617,-81.75517
"93","DENDTW",5,0.150218046763674,"DEN","DTW","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884
"94","DENMCO",3,0.149628054860335,"DEN","MCO","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"95","DENMSY",3,0.148687209292474,"DEN","MSY","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Louis Armstrong New Orleans International Airport","New Orleans","LA","USA",29.99339,-90.25803
"96","DENLAS",4,0.146852654240099,"DEN","LAS","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"97","BOSPHX",4,0.146717745425321,"BOS","PHX","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
"98","ATLMCO",4,0.146683986201626,"ATL","MCO","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"99","ATLDEN",4,0.146410158844625,"ATL","DEN","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Denver International Airport","Denver","CO","USA",39.85841,-104.667
"100","OGGSEA",3,0.145819885940392,"OGG","SEA","Kahului Airport","Kahului","HI","USA",20.89865,-156.43046,"Seattle-Tacoma International Airport","Seattle","WA","USA",47.44898,-122.30931
"101","FLLSFO",3,0.145741143084535,"FLL","SFO","Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"102","BOSDFW",3,0.145474988800842,"BOS","DFW","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372
"103","BNALAX",3,0.144675172921799,"BNA","LAX","Nashville International Airport","Nashville","TN","USA",36.12448,-86.67818,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"104","DENSLC",4,0.144155813085404,"DEN","SLC","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Salt Lake City International Airport","Salt Lake City","UT","USA",40.78839,-111.97777
"105","AUSJFK",3,0.143588692868609,"AUS","JFK","Austin-Bergstrom International Airport","Austin","TX","USA",30.19453,-97.66987,"John F. Kennedy International Airport (New York International Airport)","New York","NY","USA",40.63975,-73.77893
"106","LGAMCO",3,0.143279635063076,"LGA","MCO","LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"107","BOSRSW",3,0.141728546299786,"BOS","RSW","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Southwest Florida International Airport","Ft. Myers","FL","USA",26.53617,-81.75517
"108","IAHPHX",3,0.141567820141928,"IAH","PHX","George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972,"Phoenix Sky Harbor International Airport","Phoenix","AZ","USA",33.43417,-112.00806
